Frecuencia;ratio;fase
1.00E+03;21.6;180
2.00E+03;21;179
3.00E+03;22;178
4.00E+03;22.1;177
5.00E+03;22.1;176
6.00E+03;22.2;176
7.00E+03;22;170
8.00E+03;22;173
9.00E+03;22;172
1.00E+04;22;170
1.50E+04;21.7;166
2.00E+04;21.5;160
2.50E+04;21.4;157
3.00E+04;21.1;154
4.00E+04;20.6;144
5.00E+04;19.9;135
6.00E+04;19;132
7.00E+04;18.2;128
8.00E+04;17.7;120
9.00E+04;16.8;119
1.00E+05;16.1;115
1.30E+05;14.5;109
1.80E+05;11.1;97
2.00E+05;10.4;96
2.50E+05;8.4;90
3.00E+05;6.8;86
4.00E+05;3.7;80
4.70E+05;2.3;78
5.00E+05;1.9;73
5.80E+05;1;65
6.00E+05;0.8;63
6.50E+05;0.2;58
7.00E+05;-0.3;49
8.00E+05;-1.2;42
9.00E+05;-2.6;35
1.00E+06;-3;27
1.10E+06;-3.40E+00;18
1.20E+06;-3.6;11
1.30E+06;-3.8;0
1.40E+06;-4;-13
1.50E+06;-4.5;-20
